timestamp,open,high,low,close,volume,asset,symbol
2025-12-03 00:00:00+00:00,91345.3125,91345.3125,91345.3125,91345.3125,0,Bitcoin,BTC-USD
2025-12-03 00:01:00+00:00,91382.49219,91382.49219,91382.49219,91382.49219,173711360,Bitcoin,BTC-USD
2025-12-03 00:02:00+00:00,91402.96875,91402.96875,91402.96875,91402.96875,0,Bitcoin,BTC-USD
2025-12-03 00:03:00+00:00,91364.125,91364.125,91364.125,91364.125,173981696,Bitcoin,BTC-USD
2025-12-03 00:05:00+00:00,91294.8125,91294.8125,91294.8125,91294.8125,0,Bitcoin,BTC-USD
2025-12-03 00:06:00+00:00,91271.89063,91271.89063,91271.89063,91271.89063,18874368,Bitcoin,BTC-USD
2025-12-03 00:08:00+00:00,91269.74219,91269.74219,91269.74219,91269.74219,0,Bitcoin,BTC-USD
2025-12-03 00:09:00+00:00,91337.03125,91337.03125,91337.03125,91337.03125,249634816,Bitcoin,BTC-USD
2025-12-03 00:10:00+00:00,91469.75,91469.75,91469.75,91469.75,92094464,Bitcoin,BTC-USD
2025-12-03 00:11:00+00:00,91519.53906,91519.53906,91519.53906,91519.53906,0,Bitcoin,BTC-USD
2025-12-03 00:12:00+00:00,91417.42188,91417.42188,91417.42188,91417.42188,568025088,Bitcoin,BTC-USD
2025-12-03 00:13:00+00:00,91442.36719,91442.36719,91442.36719,91442.36719,0,Bitcoin,BTC-USD
2025-12-03 00:15:00+00:00,91362.96875,91362.96875,91362.96875,91362.96875,372162560,Bitcoin,BTC-USD
2025-12-03 00:16:00+00:00,91401.47656,91401.47656,91401.47656,91401.47656,0,Bitcoin,BTC-USD
2025-12-03 00:18:00+00:00,91416.20313,91416.20313,91416.20313,91416.20313,429400064,Bitcoin,BTC-USD
2025-12-03 00:20:00+00:00,91434.91406,91434.91406,91434.91406,91434.91406,0,Bitcoin,BTC-USD
2025-12-03 00:21:00+00:00,91418.76563,91418.76563,91418.76563,91418.76563,19439616,Bitcoin,BTC-USD
2025-12-03 00:22:00+00:00,91408.78906,91408.78906,91408.78906,91408.78906,12148736,Bitcoin,BTC-USD
2025-12-03 00:23:00+00:00,91402.88281,91402.88281,91402.88281,91402.88281,0,Bitcoin,BTC-USD
2025-12-03 00:25:00+00:00,91398.9375,91398.9375,91398.9375,91398.9375,18087936,Bitcoin,BTC-USD
2025-12-03 00:26:00+00:00,91360.77344,91360.77344,91360.77344,91360.77344,18202624,Bitcoin,BTC-USD
2025-12-03 00:27:00+00:00,91200.67188,91200.67188,91200.67188,91200.67188,0,Bitcoin,BTC-USD
2025-12-03 00:28:00+00:00,91225.61719,91225.61719,91225.61719,91225.61719,0,Bitcoin,BTC-USD
2025-12-03 00:29:00+00:00,91208.57813,91208.57813,91208.57813,91208.57813,313360384,Bitcoin,BTC-USD
2025-12-03 00:30:00+00:00,91221.78125,91221.78125,91221.78125,91221.78125,0,Bitcoin,BTC-USD
2025-12-03 00:32:00+00:00,91152.75781,91152.75781,91152.75781,91152.75781,737828864,Bitcoin,BTC-USD
2025-12-03 00:33:00+00:00,91096.5625,91096.5625,91096.5625,91096.5625,0,Bitcoin,BTC-USD
2025-12-03 00:34:00+00:00,91080,91080,91080,91080,546267136,Bitcoin,BTC-USD
2025-12-03 00:35:00+00:00,91115.38281,91115.38281,91115.38281,91115.38281,917504,Bitcoin,BTC-USD
2025-12-03 00:37:00+00:00,91081.83594,91081.83594,91081.83594,91081.83594,0,Bitcoin,BTC-USD
2025-12-03 00:38:00+00:00,91107.28906,91107.28906,91107.28906,91107.28906,169664512,Bitcoin,BTC-USD
2025-12-03 00:39:00+00:00,91183.14063,91183.14063,91183.14063,91183.14063,0,Bitcoin,BTC-USD
2025-12-03 00:41:00+00:00,91200.07813,91200.07813,91200.07813,91200.07813,60735488,Bitcoin,BTC-USD
2025-12-03 00:42:00+00:00,91243.72656,91243.72656,91243.72656,91243.72656,0,Bitcoin,BTC-USD
2025-12-03 00:44:00+00:00,91362.02344,91362.02344,91362.02344,91362.02344,0,Bitcoin,BTC-USD
2025-12-03 00:45:00+00:00,91461.41406,91461.41406,91461.41406,91461.41406,0,Bitcoin,BTC-USD
2025-12-03 00:46:00+00:00,91472.82031,91472.82031,91472.82031,91472.82031,119209984,Bitcoin,BTC-USD
2025-12-03 00:47:00+00:00,91537.99219,91537.99219,91537.99219,91537.99219,438108160,Bitcoin,BTC-USD
2025-12-03 00:48:00+00:00,91564.625,91564.625,91564.625,91564.625,0,Bitcoin,BTC-USD
2025-12-03 00:49:00+00:00,91605.15625,91605.15625,91605.15625,91605.15625,285917184,Bitcoin,BTC-USD
2025-12-03 00:50:00+00:00,91623.39844,91623.39844,91623.39844,91623.39844,0,Bitcoin,BTC-USD
2025-12-03 00:51:00+00:00,91715.92188,91715.92188,91715.92188,91715.92188,761856,Bitcoin,BTC-USD
2025-12-03 00:53:00+00:00,91741.66406,91741.66406,91741.66406,91741.66406,28557312,Bitcoin,BTC-USD
2025-12-03 00:55:00+00:00,91618.64844,91618.64844,91618.64844,91618.64844,500047872,Bitcoin,BTC-USD
2025-12-03 00:56:00+00:00,91589.32031,91589.32031,91589.32031,91589.32031,0,Bitcoin,BTC-USD
2025-12-03 00:58:00+00:00,91513.67969,91513.67969,91513.67969,91513.67969,0,Bitcoin,BTC-USD
2025-12-03 00:59:00+00:00,91588.74219,91588.74219,91588.74219,91588.74219,0,Bitcoin,BTC-USD
2025-12-03 01:00:00+00:00,91632.60938,91632.60938,91632.60938,91632.60938,479870976,Bitcoin,BTC-USD
2025-12-03 01:01:00+00:00,91690.69531,91690.69531,91690.69531,91690.69531,0,Bitcoin,BTC-USD
2025-12-03 01:02:00+00:00,91661.78906,91661.78906,91661.78906,91661.78906,12091392,Bitcoin,BTC-USD
2025-12-03 01:03:00+00:00,91630.89063,91630.89063,91630.89063,91630.89063,0,Bitcoin,BTC-USD
2025-12-03 01:05:00+00:00,91542.71094,91542.71094,91542.71094,91542.71094,579985408,Bitcoin,BTC-USD
2025-12-03 01:06:00+00:00,91546.03906,91546.03906,91546.03906,91546.03906,0,Bitcoin,BTC-USD
2025-12-03 01:07:00+00:00,91584.35156,91584.35156,91584.35156,91584.35156,0,Bitcoin,BTC-USD
2025-12-03 01:08:00+00:00,91580.67188,91580.67188,91580.67188,91580.67188,0,Bitcoin,BTC-USD
2025-12-03 01:09:00+00:00,91662.60938,91662.60938,91662.60938,91662.60938,2564096,Bitcoin,BTC-USD
2025-12-03 01:10:00+00:00,91636.34375,91636.34375,91636.34375,91636.34375,0,Bitcoin,BTC-USD
2025-12-03 01:11:00+00:00,91675.59375,91675.59375,91675.59375,91675.59375,0,Bitcoin,BTC-USD
2025-12-03 01:12:00+00:00,91818.19531,91818.19531,91818.19531,91818.19531,0,Bitcoin,BTC-USD
2025-12-03 01:13:00+00:00,91785.51563,91785.51563,91785.51563,91785.51563,0,Bitcoin,BTC-USD
2025-12-03 01:14:00+00:00,91783.42188,91783.42188,91783.42188,91783.42188,0,Bitcoin,BTC-USD
2025-12-03 01:15:00+00:00,91769.5625,91769.5625,91769.5625,91769.5625,631029760,Bitcoin,BTC-USD
2025-12-03 01:17:00+00:00,91721.07031,91721.07031,91721.07031,91721.07031,211083264,Bitcoin,BTC-USD
2025-12-03 01:18:00+00:00,91768.0625,91768.0625,91768.0625,91768.0625,0,Bitcoin,BTC-USD
2025-12-03 01:19:00+00:00,91807.24219,91807.24219,91807.24219,91807.24219,0,Bitcoin,BTC-USD
2025-12-03 01:20:00+00:00,91846.625,91846.625,91846.625,91846.625,0,Bitcoin,BTC-USD
2025-12-03 01:21:00+00:00,91915.36719,91915.36719,91915.36719,91915.36719,0,Bitcoin,BTC-USD
2025-12-03 01:22:00+00:00,91922.75781,91922.75781,91922.75781,91922.75781,164438016,Bitcoin,BTC-USD
2025-12-03 01:23:00+00:00,91890.39063,91890.39063,91890.39063,91890.39063,0,Bitcoin,BTC-USD
2025-12-03 01:24:00+00:00,91922.13281,91922.13281,91922.13281,91922.13281,28631040,Bitcoin,BTC-USD
2025-12-03 01:25:00+00:00,91909.04688,91909.04688,91909.04688,91909.04688,0,Bitcoin,BTC-USD
2025-12-03 01:26:00+00:00,91949,91949,91949,91949,315686912,Bitcoin,BTC-USD
2025-12-03 01:27:00+00:00,91980.61719,91980.61719,91980.61719,91980.61719,138813440,Bitcoin,BTC-USD
2025-12-03 01:28:00+00:00,91897.77344,91897.77344,91897.77344,91897.77344,65978368,Bitcoin,BTC-USD
2025-12-03 01:29:00+00:00,91894.15625,91894.15625,91894.15625,91894.15625,0,Bitcoin,BTC-USD
2025-12-03 01:31:00+00:00,91921.29688,91921.29688,91921.29688,91921.29688,0,Bitcoin,BTC-USD
2025-12-03 01:32:00+00:00,91920.45313,91920.45313,91920.45313,91920.45313,0,Bitcoin,BTC-USD
2025-12-03 01:33:00+00:00,91918.78125,91918.78125,91918.78125,91918.78125,721379328,Bitcoin,BTC-USD
2025-12-03 01:34:00+00:00,91947.03125,91947.03125,91947.03125,91947.03125,0,Bitcoin,BTC-USD
2025-12-03 01:35:00+00:00,91979.07813,91979.07813,91979.07813,91979.07813,0,Bitcoin,BTC-USD
2025-12-03 01:36:00+00:00,91947.25,91947.25,91947.25,91947.25,10035200,Bitcoin,BTC-USD
2025-12-03 01:37:00+00:00,91933.40625,91933.40625,91933.40625,91933.40625,107020288,Bitcoin,BTC-USD
2025-12-03 01:38:00+00:00,91920.89063,91920.89063,91920.89063,91920.89063,155557888,Bitcoin,BTC-USD
2025-12-03 01:39:00+00:00,91915.07031,91915.07031,91915.07031,91915.07031,0,Bitcoin,BTC-USD
2025-12-03 01:41:00+00:00,91907.35156,91907.35156,91907.35156,91907.35156,187154432,Bitcoin,BTC-USD
2025-12-03 01:42:00+00:00,91940.10938,91940.10938,91940.10938,91940.10938,0,Bitcoin,BTC-USD
2025-12-03 01:43:00+00:00,91948.83594,91948.83594,91948.83594,91948.83594,0,Bitcoin,BTC-USD
2025-12-03 01:45:00+00:00,91975.07813,91975.07813,91975.07813,91975.07813,149544960,Bitcoin,BTC-USD
2025-12-03 01:46:00+00:00,91970.36719,91970.36719,91970.36719,91970.36719,0,Bitcoin,BTC-USD
2025-12-03 01:47:00+00:00,92008.21094,92008.21094,92008.21094,92008.21094,2637824,Bitcoin,BTC-USD
2025-12-03 01:48:00+00:00,92159.91406,92159.91406,92159.91406,92159.91406,29958144,Bitcoin,BTC-USD
2025-12-03 01:49:00+00:00,92181.82813,92181.82813,92181.82813,92181.82813,0,Bitcoin,BTC-USD
2025-12-03 01:50:00+00:00,92237.39844,92237.39844,92237.39844,92237.39844,0,Bitcoin,BTC-USD
2025-12-03 01:51:00+00:00,92359.79688,92359.79688,92359.79688,92359.79688,115105792,Bitcoin,BTC-USD
2025-12-03 01:53:00+00:00,92289.89844,92289.89844,92289.89844,92289.89844,0,Bitcoin,BTC-USD
2025-12-03 01:55:00+00:00,92347.45313,92347.45313,92347.45313,92347.45313,479576064,Bitcoin,BTC-USD
2025-12-03 01:56:00+00:00,92304.42969,92304.42969,92304.42969,92304.42969,0,Bitcoin,BTC-USD
2025-12-03 01:57:00+00:00,92305.03125,92305.03125,92305.03125,92305.03125,0,Bitcoin,BTC-USD
2025-12-03 01:58:00+00:00,92233.28906,92233.28906,92233.28906,92233.28906,1225515008,Bitcoin,BTC-USD
2025-12-03 01:59:00+00:00,92189.57813,92189.57813,92189.57813,92189.57813,0,Bitcoin,BTC-USD
2025-12-03 02:00:00+00:00,92237.67188,92237.67188,92237.67188,92237.67188,12165120,Bitcoin,BTC-USD
2025-12-03 02:01:00+00:00,92248.85156,92248.85156,92248.85156,92248.85156,13066240,Bitcoin,BTC-USD
2025-12-03 02:02:00+00:00,92306.76563,92306.76563,92306.76563,92306.76563,357408768,Bitcoin,BTC-USD
2025-12-03 02:03:00+00:00,92355.70313,92355.70313,92355.70313,92355.70313,0,Bitcoin,BTC-USD
2025-12-03 02:04:00+00:00,92426.45313,92426.45313,92426.45313,92426.45313,170024960,Bitcoin,BTC-USD
2025-12-03 02:06:00+00:00,92426.57031,92426.57031,92426.57031,92426.57031,0,Bitcoin,BTC-USD
2025-12-03 02:07:00+00:00,92256.13281,92256.13281,92256.13281,92256.13281,0,Bitcoin,BTC-USD
2025-12-03 02:08:00+00:00,92274.96875,92274.96875,92274.96875,92274.96875,532242432,Bitcoin,BTC-USD
2025-12-03 02:09:00+00:00,92281.83594,92281.83594,92281.83594,92281.83594,258695168,Bitcoin,BTC-USD
